Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
1993,Thailand,Cambodia,THA,KHM,67,0,0,0,0,0,0
1993,Thailand,China,THA,CHN,59,0,0,0,0,0,0
1993,Thailand,"Lao People's Dem. Rep.",THA,LAO,26694,0,0,0,0,0,0
1993,Thailand,"Sri Lanka",THA,LKA,242,0,0,0,0,0,0
1993,Thailand,Myanmar,THA,MMR,82289,0,0,0,0,0,0
1993,Thailand,Somalia,THA,SOM,20,0,0,0,0,0,0
1993,Thailand,"Viet Nam",THA,VNM,9797,0,0,0,0,0,0
1993,Thailand,"Unknown ",THA,UNK,32,0,0,0,0,0,0
1994,Thailand,Afghanistan,THA,AFG,25,0,0,0,0,0,0
1994,Thailand,Cambodia,THA,KHM,15,0,0,0,0,0,0
1994,Thailand,China,THA,CHN,57,0,0,0,0,0,0
1994,Thailand,"Lao People's Dem. Rep.",THA,LAO,11924,0,0,0,0,0,0
1994,Thailand,"Sri Lanka",THA,LKA,201,0,0,0,0,0,0
1994,Thailand,Myanmar,THA,MMR,82422,0,0,0,0,0,0
1994,Thailand,Somalia,THA,SOM,24,0,0,0,0,0,0
1994,Thailand,"Viet Nam",THA,VNM,6121,0,0,0,0,0,0
1994,Thailand,"Unknown ",THA,UNK,28,0,0,0,0,0,0
1995,Thailand,Afghanistan,THA,AFG,21,0,0,0,0,0,0
1995,Thailand,Cambodia,THA,KHM,5,0,0,0,0,0,0
1995,Thailand,China,THA,CHN,61,0,0,0,0,0,0
1995,Thailand,"Lao People's Dem. Rep.",THA,LAO,6290,0,0,0,0,0,0
1995,Thailand,"Sri Lanka",THA,LKA,184,0,0,0,0,0,0
1995,Thailand,Myanmar,THA,MMR,94910,0,0,0,0,0,0
1995,Thailand,Somalia,THA,SOM,53,0,0,0,0,0,0
1995,Thailand,"Viet Nam",THA,VNM,5014,0,0,0,0,0,0
1995,Thailand,"Unknown ",THA,UNK,27,0,0,0,0,0,0
1996,Thailand,Afghanistan,THA,AFG,26,0,0,0,0,0,0
1996,Thailand,China,THA,CHN,57,0,0,0,0,0,0
1996,Thailand,"Iran (Islamic Rep. of)",THA,IRN,9,0,0,0,0,0,0
1996,Thailand,"Lao People's Dem. Rep.",THA,LAO,3293,0,0,0,0,0,0
1996,Thailand,"Sri Lanka",THA,LKA,169,0,0,0,0,0,0
1996,Thailand,Myanmar,THA,MMR,104033,0,0,0,0,0,0
1996,Thailand,Somalia,THA,SOM,51,0,0,0,0,0,0
1996,Thailand,"Viet Nam",THA,VNM,289,0,0,0,0,0,0
1996,Thailand,"Unknown ",THA,UNK,35,0,0,0,0,0,0
1997,Thailand,Afghanistan,THA,AFG,28,0,0,0,0,0,0
1997,Thailand,Cambodia,THA,KHM,62235,0,0,0,0,0,0
1997,Thailand,China,THA,CHN,59,0,0,0,0,0,0
1997,Thailand,"Iran (Islamic Rep. of)",THA,IRN,8,0,0,0,0,0,0
1997,Thailand,Iraq,THA,IRQ,10,0,0,0,0,0,0
1997,Thailand,"Lao People's Dem. Rep.",THA,LAO,1337,0,0,0,0,0,0
1997,Thailand,"Sri Lanka",THA,LKA,173,0,0,0,0,0,0
1997,Thailand,Myanmar,THA,MMR,105216,0,0,0,0,0,0
1997,Thailand,Somalia,THA,SOM,52,0,0,0,0,0,0
1997,Thailand,"Viet Nam",THA,VNM,7,0,0,0,0,0,0
1997,Thailand,"Unknown ",THA,UNK,29,0,0,0,0,0,200
1998,Thailand,Afghanistan,THA,AFG,27,0,0,0,0,0,0
1998,Thailand,Cambodia,THA,KHM,36075,0,0,0,0,0,0
1998,Thailand,China,THA,CHN,61,0,0,0,0,0,0
1998,Thailand,"Iran (Islamic Rep. of)",THA,IRN,5,0,0,0,0,0,0
1998,Thailand,Iraq,THA,IRQ,13,0,0,0,0,0,0
1998,Thailand,"Lao People's Dem. Rep.",THA,LAO,196,0,0,0,0,0,1155
1998,Thailand,"Sri Lanka",THA,LKA,165,0,0,0,0,0,0
1998,Thailand,Myanmar,THA,MMR,101686,0,0,0,0,0,0
1998,Thailand,Somalia,THA,SOM,53,0,0,0,0,0,0
1998,Thailand,"Viet Nam",THA,VNM,8,0,0,0,0,0,45
1998,Thailand,"Unknown ",THA,UNK,45,0,0,0,0,0,0
1999,Thailand,Afghanistan,THA,AFG,22,0,0,0,0,0,0
1999,Thailand,Cambodia,THA,KHM,109,0,0,0,0,0,0
1999,Thailand,China,THA,CHN,34,0,0,0,0,0,0
1999,Thailand,"Iran (Islamic Rep. of)",THA,IRN,11,0,0,0,0,0,0
1999,Thailand,Iraq,THA,IRQ,27,0,0,0,0,0,0
1999,Thailand,"Dem. People's Rep. of Korea",THA,PRK,5,0,0,0,0,0,0
1999,Thailand,"Lao People's Dem. Rep.",THA,LAO,117,0,0,0,0,0,0
1999,Thailand,"Sri Lanka",THA,LKA,57,0,0,0,0,0,0
1999,Thailand,Myanmar,THA,MMR,99716,0,0,0,0,0,0
1999,Thailand,"Viet Nam",THA,VNM,6,0,0,0,0,0,38
1999,Thailand,"Unknown ",THA,UNK,29,0,0,0,0,0,0
2000,Thailand,Afghanistan,THA,AFG,20,9,0,0,0,0,0
2000,Thailand,Cambodia,THA,KHM,117,51,0,0,0,0,0
2000,Thailand,China,THA,CHN,46,19,0,0,0,0,0
2000,Thailand,"Iran (Islamic Rep. of)",THA,IRN,21,28,0,0,0,0,0
2000,Thailand,Iraq,THA,IRQ,36,25,0,0,0,0,0
2000,Thailand,"Dem. People's Rep. of Korea",THA,PRK,0,6,0,0,0,0,0
2000,Thailand,"Lao People's Dem. Rep.",THA,LAO,49,0,0,0,0,0,5
2000,Thailand,"Sri Lanka",THA,LKA,62,6,0,0,0,0,0
2000,Thailand,Myanmar,THA,MMR,104569,171,0,0,0,0,0
2000,Thailand,"Viet Nam",THA,VNM,5,0,0,0,0,0,0
2000,Thailand,"Unknown ",THA,UNK,41,45,0,0,0,0,0
2001,Thailand,Afghanistan,THA,AFG,19,5,0,0,0,0,0
2001,Thailand,Cambodia,THA,KHM,92,6,0,0,0,0,0
2001,Thailand,China,THA,CHN,66,20,0,0,0,0,0
2001,Thailand,"State of Palestine",THA,PSE,12,5,0,0,0,0,0
2001,Thailand,"Iran (Islamic Rep. of)",THA,IRN,14,15,0,0,0,0,0
2001,Thailand,Iraq,THA,IRQ,33,35,0,0,0,0,0
2001,Thailand,"Dem. People's Rep. of Korea",THA,PRK,0,20,0,0,0,0,0
2001,Thailand,"Lao People's Dem. Rep.",THA,LAO,34,0,0,0,0,0,5
2001,Thailand,"Sri Lanka",THA,LKA,57,11,0,0,0,0,0
2001,Thailand,Myanmar,THA,MMR,110313,175,0,0,0,0,0
2001,Thailand,"Viet Nam",THA,VNM,12,0,0,0,0,0,0
2001,Thailand,"Unknown ",THA,UNK,59,51,0,0,0,0,0
2002,Thailand,Afghanistan,THA,AFG,14,5,0,0,0,0,0
2002,Thailand,Cambodia,THA,KHM,82,15,0,0,0,0,0
2002,Thailand,China,THA,CHN,80,24,0,0,0,0,0
2002,Thailand,"State of Palestine",THA,PSE,6,9,0,0,0,0,0
2002,Thailand,"Iran (Islamic Rep. of)",THA,IRN,17,19,0,0,0,0,0
2002,Thailand,Iraq,THA,IRQ,33,57,0,0,0,0,0
2002,Thailand,"Dem. People's Rep. of Korea",THA,PRK,0,15,0,0,0,0,0
2002,Thailand,"Lao People's Dem. Rep.",THA,LAO,34,0,0,0,0,0,5
2002,Thailand,"Sri Lanka",THA,LKA,46,31,0,0,0,0,0
2002,Thailand,Myanmar,THA,MMR,112238,614,0,0,0,0,0
2002,Thailand,"Viet Nam",THA,VNM,10,7,0,0,0,0,0
2002,Thailand,"Unknown ",THA,UNK,54,255,0,0,0,0,0
2003,Thailand,Afghanistan,THA,AFG,12,0,0,0,0,0,0
2003,Thailand,Cambodia,THA,KHM,55,51,0,0,0,0,0
2003,Thailand,China,THA,CHN,52,48,0,0,0,0,0
2003,Thailand,Cameroon,THA,CMR,5,5,0,0,0,0,0
2003,Thailand,Congo,THA,COG,0,33,0,0,0,0,0
2003,Thailand,"Dem. Rep. of the Congo",THA,COD,5,13,0,0,0,0,0
2003,Thailand,Ethiopia,THA,ETH,0,5,0,0,0,0,0
2003,Thailand,"State of Palestine",THA,PSE,12,9,0,0,0,0,0
2003,Thailand,Ghana,THA,GHA,0,5,0,0,0,0,0
2003,Thailand,Guinea,THA,GIN,0,5,0,0,0,0,0
2003,Thailand,"Cote d'Ivoire",THA,CIV,0,11,0,0,0,0,0
2003,Thailand,India,THA,IND,5,16,0,0,0,0,0
2003,Thailand,Indonesia,THA,IDN,5,5,0,0,0,0,0
2003,Thailand,"Iran (Islamic Rep. of)",THA,IRN,17,39,0,0,0,0,0
2003,Thailand,Iraq,THA,IRQ,25,98,0,0,0,0,0
2003,Thailand,Kenya,THA,KEN,0,5,0,0,0,0,0
2003,Thailand,"Dem. People's Rep. of Korea",THA,PRK,0,18,0,0,0,0,0
2003,Thailand,"Lao People's Dem. Rep.",THA,LAO,41,23,0,0,0,0,5
2003,Thailand,Liberia,THA,LBR,8,83,0,0,0,0,0
2003,Thailand,"Sri Lanka",THA,LKA,24,41,0,0,0,0,0
2003,Thailand,Myanmar,THA,MMR,118762,1968,0,0,0,0,0
2003,Thailand,Nepal,THA,NPL,0,13,0,0,0,0,0
2003,Thailand,Nigeria,THA,NGA,0,59,0,0,0,0,0
2003,Thailand,Pakistan,THA,PAK,5,17,0,0,0,0,0
2003,Thailand,Rwanda,THA,RWA,5,0,0,0,0,0,0
2003,Thailand,"Sierra Leone",THA,SLE,0,19,0,0,0,0,0
2003,Thailand,Somalia,THA,SOM,5,15,0,0,0,0,0
2003,Thailand,"Viet Nam",THA,VNM,8,31,0,0,0,0,0
2003,Thailand,Sudan,THA,SDN,5,5,0,0,0,0,0
2003,Thailand,Uganda,THA,UGA,0,5,0,0,0,0,0
2004,Thailand,Afghanistan,THA,AFG,5,0,0,0,0,0,0
2004,Thailand,Egypt,THA,EGY,0,5,0,0,0,0,0
2004,Thailand,Cambodia,THA,KHM,70,64,0,0,0,0,0
2004,Thailand,China,THA,CHN,46,46,0,0,0,0,0
2004,Thailand,Cameroon,THA,CMR,5,0,0,0,0,0,0
2004,Thailand,Congo,THA,COG,5,5,0,0,0,0,0
2004,Thailand,"Dem. Rep. of the Congo",THA,COD,26,14,0,0,0,0,0
2004,Thailand,Eritrea,THA,ERI,0,5,0,0,0,0,0
2004,Thailand,Ethiopia,THA,ETH,0,5,0,0,0,0,0
2004,Thailand,"State of Palestine",THA,PSE,12,8,0,0,0,0,0
2004,Thailand,Guinea,THA,GIN,0,6,0,0,0,0,0
2004,Thailand,"Cote d'Ivoire",THA,CIV,6,0,0,0,0,0,0
2004,Thailand,India,THA,IND,0,15,0,0,0,0,0
2004,Thailand,Indonesia,THA,IDN,5,5,0,0,0,0,0
2004,Thailand,"Iran (Islamic Rep. of)",THA,IRN,18,33,0,0,0,0,0
2004,Thailand,Iraq,THA,IRQ,22,115,0,0,0,0,0
2004,Thailand,"Dem. People's Rep. of Korea",THA,PRK,0,15,0,0,0,0,0
2004,Thailand,"Lao People's Dem. Rep.",THA,LAO,27,145,0,0,0,0,5
2004,Thailand,Liberia,THA,LBR,17,32,0,0,0,0,0
2004,Thailand,"Sri Lanka",THA,LKA,20,35,0,0,0,0,0
2004,Thailand,Myanmar,THA,MMR,120814,325,0,0,0,0,0
2004,Thailand,Nepal,THA,NPL,5,36,0,0,0,0,0
2004,Thailand,Nigeria,THA,NGA,5,17,0,0,0,0,0
2004,Thailand,Pakistan,THA,PAK,5,9,0,0,0,0,0
2004,Thailand,Rwanda,THA,RWA,5,0,0,0,0,0,0
2004,Thailand,"Sierra Leone",THA,SLE,0,12,0,0,0,0,0
2004,Thailand,Somalia,THA,SOM,9,10,0,0,0,0,0
2004,Thailand,"Viet Nam",THA,VNM,13,61,0,0,0,0,0
2004,Thailand,Sudan,THA,SDN,5,5,0,0,0,0,0
2004,Thailand,Uganda,THA,UGA,0,5,0,0,0,0,0
2004,Thailand,Zimbabwe,THA,ZWE,0,5,0,0,0,0,0
2005,Thailand,Afghanistan,THA,AFG,5,0,0,0,0,0,0
2005,Thailand,Egypt,THA,EGY,5,0,0,0,0,0,0
2005,Thailand,Cambodia,THA,KHM,89,196,0,0,0,0,0
2005,Thailand,China,THA,CHN,57,46,0,0,0,0,0
2005,Thailand,Cameroon,THA,CMR,5,0,0,0,0,0,0
2005,Thailand,"Dem. Rep. of the Congo",THA,COD,30,17,0,0,0,0,0
2005,Thailand,"State of Palestine",THA,PSE,15,0,0,0,0,0,0
2005,Thailand,"Cote d'Ivoire",THA,CIV,13,0,0,0,0,0,0
2005,Thailand,India,THA,IND,5,0,0,0,0,0,0
2005,Thailand,Indonesia,THA,IDN,8,0,0,0,0,0,0
2005,Thailand,"Iran (Islamic Rep. of)",THA,IRN,29,5,0,0,0,0,0
2005,Thailand,Iraq,THA,IRQ,15,0,0,0,0,0,93
2005,Thailand,"Lao People's Dem. Rep.",THA,LAO,150,96,0,0,0,0,5
2005,Thailand,Liberia,THA,LBR,17,0,0,0,0,0,0
2005,Thailand,"Sri Lanka",THA,LKA,24,56,0,0,0,0,0
2005,Thailand,Myanmar,THA,MMR,116499,31573,0,0,0,0,0
2005,Thailand,Nepal,THA,NPL,40,67,0,0,0,0,0
2005,Thailand,Nigeria,THA,NGA,0,7,0,0,0,0,0
2005,Thailand,Rwanda,THA,RWA,5,0,0,0,0,0,0
2005,Thailand,"Sierra Leone",THA,SLE,0,5,0,0,0,0,0
2005,Thailand,Somalia,THA,SOM,14,5,0,0,0,0,0
2005,Thailand,"Viet Nam",THA,VNM,19,59,0,0,0,0,0
2005,Thailand,Sudan,THA,SDN,6,0,0,0,0,0,0
2005,Thailand,Uganda,THA,UGA,0,5,0,0,0,0,0
2005,Thailand,"Unknown ",THA,UNK,0,0,0,0,0,0,37
2006,Thailand,Cambodia,THA,KHM,84,92,0,0,0,0,0
2006,Thailand,China,THA,CHN,74,67,0,0,0,0,0
2006,Thailand,Cameroon,THA,CMR,0,5,0,0,0,0,0
2006,Thailand,"Dem. Rep. of the Congo",THA,COD,25,31,0,0,0,0,0
2006,Thailand,Ethiopia,THA,ETH,0,5,0,0,0,0,0
2006,Thailand,"State of Palestine",THA,PSE,12,46,0,0,0,0,0
2006,Thailand,"Cote d'Ivoire",THA,CIV,14,10,0,0,0,0,0
2006,Thailand,"Iran (Islamic Rep. of)",THA,IRN,20,19,0,0,0,0,0
2006,Thailand,Iraq,THA,IRQ,16,0,0,0,0,0,100
2006,Thailand,"Lao People's Dem. Rep.",THA,LAO,354,113,0,0,0,0,5
2006,Thailand,Liberia,THA,LBR,9,0,0,0,0,0,0
2006,Thailand,"Sri Lanka",THA,LKA,61,72,0,0,0,0,0
2006,Thailand,Myanmar,THA,MMR,132241,17863,0,0,0,0,0
2006,Thailand,Nepal,THA,NPL,67,45,0,0,0,0,0
2006,Thailand,Nigeria,THA,NGA,0,10,0,0,0,0,0
2006,Thailand,Pakistan,THA,PAK,5,0,0,0,0,0,0
2006,Thailand,Rwanda,THA,RWA,5,0,0,0,0,0,0
2006,Thailand,Somalia,THA,SOM,17,0,0,0,0,0,0
2006,Thailand,"Viet Nam",THA,VNM,93,28,0,0,0,0,0
2006,Thailand,Stateless,THA,XXA,5,0,0,0,0,0,0
2006,Thailand,Sudan,THA,SDN,5,0,0,0,0,0,0
2006,Thailand,"Unknown ",THA,UNK,0,0,0,0,0,0,183
2007,Thailand,Afghanistan,THA,AFG,5,0,0,0,0,0,0
2007,Thailand,Cambodia,THA,KHM,41,53,0,0,0,0,0
2007,Thailand,China,THA,CHN,147,60,0,0,0,0,0
2007,Thailand,Cameroon,THA,CMR,0,5,0,0,0,0,0
2007,Thailand,"Dem. Rep. of the Congo",THA,COD,26,8,0,0,0,0,0
2007,Thailand,Ethiopia,THA,ETH,0,8,0,0,0,0,0
2007,Thailand,"State of Palestine",THA,PSE,47,5,0,0,0,0,0
2007,Thailand,Guinea,THA,GIN,0,5,0,0,0,0,0
2007,Thailand,"Cote d'Ivoire",THA,CIV,19,0,0,0,0,0,0
2007,Thailand,"Iran (Islamic Rep. of)",THA,IRN,21,24,0,0,0,0,0
2007,Thailand,Iraq,THA,IRQ,49,79,0,0,0,0,0
2007,Thailand,"Lao People's Dem. Rep.",THA,LAO,417,80,0,0,0,0,0
2007,Thailand,Liberia,THA,LBR,5,0,0,0,0,0,0
2007,Thailand,"Sri Lanka",THA,LKA,173,249,0,0,0,0,0
2007,Thailand,Myanmar,THA,MMR,124562,12761,0,0,0,0,0
2007,Thailand,Nepal,THA,NPL,51,24,0,0,0,0,0
2007,Thailand,Nigeria,THA,NGA,0,5,0,0,0,0,0
2007,Thailand,Pakistan,THA,PAK,0,17,0,0,0,0,0
2007,Thailand,Rwanda,THA,RWA,5,5,0,0,0,0,0
2007,Thailand,Somalia,THA,SOM,17,51,0,0,0,0,0
2007,Thailand,"Viet Nam",THA,VNM,32,32,0,0,0,0,0
2007,Thailand,Sudan,THA,SDN,5,0,0,0,0,0,0
2007,Thailand,Zimbabwe,THA,ZWE,5,0,0,0,0,0,0
2008,Thailand,Burundi,THA,BDI,6,0,0,0,0,0,0
2008,Thailand,Bangladesh,THA,BGD,0,5,0,0,0,0,0
2008,Thailand,Cambodia,THA,KHM,56,28,0,0,0,0,0
2008,Thailand,China,THA,CHN,144,53,0,0,0,0,0
2008,Thailand,Cameroon,THA,CMR,0,5,0,0,0,0,0
2008,Thailand,"Dem. Rep. of the Congo",THA,COD,17,19,0,0,0,0,0
2008,Thailand,"State of Palestine",THA,PSE,26,6,0,0,0,0,0
2008,Thailand,"Cote d'Ivoire",THA,CIV,13,13,0,0,0,0,0
2008,Thailand,India,THA,IND,0,6,0,0,0,0,0
2008,Thailand,"Iran (Islamic Rep. of)",THA,IRN,15,17,0,0,0,0,0
2008,Thailand,Iraq,THA,IRQ,92,62,0,0,0,0,0
2008,Thailand,"Lao People's Dem. Rep.",THA,LAO,432,80,0,0,0,0,0
2008,Thailand,Liberia,THA,LBR,5,0,0,0,0,0,0
2008,Thailand,"Sri Lanka",THA,LKA,352,156,0,0,0,0,0
2008,Thailand,Myanmar,THA,MMR,111555,12009,0,0,0,0,0
2008,Thailand,Nepal,THA,NPL,38,0,0,0,0,0,0
2008,Thailand,Pakistan,THA,PAK,13,14,0,0,0,0,0
2008,Thailand,Rwanda,THA,RWA,5,0,0,0,0,0,0
2008,Thailand,"Sierra Leone",THA,SLE,0,5,0,0,0,0,0
2008,Thailand,Somalia,THA,SOM,123,30,0,0,0,0,0
2008,Thailand,"Viet Nam",THA,VNM,24,55,0,0,0,0,0
2008,Thailand,Stateless,THA,XXA,0,0,0,0,3500000,0,0
2009,Thailand,Cambodia,THA,KHM,47,53,0,0,0,0,0
2009,Thailand,China,THA,CHN,89,73,0,0,0,0,0
2009,Thailand,Cameroon,THA,CMR,0,6,0,0,0,0,0
2009,Thailand,"Dem. Rep. of the Congo",THA,COD,16,38,0,0,0,0,0
2009,Thailand,Ethiopia,THA,ETH,0,5,0,0,0,0,0
2009,Thailand,"State of Palestine",THA,PSE,18,5,0,0,0,0,0
2009,Thailand,Guinea,THA,GIN,0,13,0,0,0,0,0
2009,Thailand,"Cote d'Ivoire",THA,CIV,13,5,0,0,0,0,0
2009,Thailand,"Iran (Islamic Rep. of)",THA,IRN,9,24,0,0,0,0,0
2009,Thailand,Iraq,THA,IRQ,98,32,0,0,0,0,0
2009,Thailand,Kuwait,THA,KWT,0,5,0,0,0,0,0
2009,Thailand,"Lao People's Dem. Rep.",THA,LAO,271,75,0,0,0,0,0
2009,Thailand,"Sri Lanka",THA,LKA,410,472,0,0,0,0,0
2009,Thailand,Myanmar,THA,MMR,104107,8961,0,0,0,0,0
2009,Thailand,Nepal,THA,NPL,18,10,0,0,0,0,0
2009,Thailand,Pakistan,THA,PAK,25,292,0,0,0,0,0
2009,Thailand,Rwanda,THA,RWA,5,0,0,0,0,0,0
2009,Thailand,"Sierra Leone",THA,SLE,0,16,0,0,0,0,0
2009,Thailand,Somalia,THA,SOM,122,9,0,0,0,0,0
2009,Thailand,"Viet Nam",THA,VNM,38,146,0,0,0,0,0
2009,Thailand,Stateless,THA,XXA,0,0,0,0,3500000,0,0
2009,Thailand,Sudan,THA,SDN,0,5,0,0,0,0,0
2010,Thailand,Bangladesh,THA,BGD,0,7,0,0,0,0,0
2010,Thailand,Cambodia,THA,KHM,30,51,0,0,0,0,0
2010,Thailand,China,THA,CHN,61,85,0,0,0,0,0
2010,Thailand,"Dem. Rep. of the Congo",THA,COD,15,58,0,0,0,0,0
2010,Thailand,Ethiopia,THA,ETH,0,5,0,0,0,0,0
2010,Thailand,"State of Palestine",THA,PSE,14,5,0,0,0,0,0
2010,Thailand,Guinea,THA,GIN,0,20,0,0,0,0,0
2010,Thailand,"Cote d'Ivoire",THA,CIV,15,5,0,0,0,0,0
2010,Thailand,India,THA,IND,0,5,0,0,0,0,0
2010,Thailand,"Iran (Islamic Rep. of)",THA,IRN,13,28,0,0,0,0,0
2010,Thailand,Iraq,THA,IRQ,76,29,0,0,0,0,0
2010,Thailand,Kuwait,THA,KWT,0,5,0,0,0,0,0
2010,Thailand,"Lao People's Dem. Rep.",THA,LAO,149,8,0,0,0,0,0
2010,Thailand,Liberia,THA,LBR,0,19,0,0,0,0,0
2010,Thailand,"Sri Lanka",THA,LKA,350,364,0,0,0,0,0
2010,Thailand,Myanmar,THA,MMR,95718,8962,0,0,0,0,0
2010,Thailand,Nepal,THA,NPL,17,5,0,0,0,0,0
2010,Thailand,Nigeria,THA,NGA,0,5,0,0,0,0,0
2010,Thailand,Pakistan,THA,PAK,60,395,0,0,0,0,0
2010,Thailand,Rwanda,THA,RWA,5,0,0,0,0,0,0
2010,Thailand,Somalia,THA,SOM,122,17,0,0,0,0,0
2010,Thailand,"Viet Nam",THA,VNM,21,149,0,0,0,0,0
2010,Thailand,Stateless,THA,XXA,0,0,0,0,542505,0,0
2010,Thailand,Uganda,THA,UGA,0,6,0,0,0,0,0
2011,Thailand,Egypt,THA,EGY,0,6,0,0,0,0,0
2011,Thailand,Burundi,THA,BDI,0,5,0,0,0,0,0
2011,Thailand,Bangladesh,THA,BGD,0,9,0,0,0,0,0
2011,Thailand,Cambodia,THA,KHM,45,61,0,0,0,0,0
